景點名稱,地點搜尋關鍵字,順序,類型,評分,評論總數,bayesian_C,bayesian_m,bayesian_score,備註說明
東港東隆宮,屏東縣東港鎮 東隆宮,1,起終點,4.7,7785,4.4256,260,4.69,07:30 出發 接續 Day4 終點 km0（短程日）
鵬灣跨海大橋,屏東縣東港鎮 鵬灣跨海大橋,2,景點,4.3,4230,4.4256,260,4.31,必經 大鵬灣 跨海大橋開橋秀 km約2
全家便利商店 枋寮臨海店,全家便利商店 枋寮臨海店,3,便利商店,,,,,,枋寮補給點 km約18
海大山小,屏東縣枋山鄉 海大山小,4,景點,4.2,1634,4.4256,260,4.23,枋山海景打卡點 km約33
愛琴海岸海景咖啡餐廳,屏東縣枋山鄉 愛琴海岸海景咖啡餐廳,5,餐廳大休,4.6,8150,4.4256,260,4.59,午餐大休 枋山海景餐廳 km約39
7-ELEVEN 楓港門市,7-ELEVEN 楓港門市,6,便利商店,,,,,,楓港轉台26前補給 km約45
車城福安宮,屏東縣車城鄉 福安宮,7,景點,4.6,24742,4.4256,260,4.6,全台最大土地公廟 km約60
全家便利商店 車城風車店,全家便利商店 車城風車店,8,便利商店,,,,,,車城補給點 km約60
恆春縣城北門,屏東縣恆春鎮 恆春縣城北門,9,景點,4.4,2205,4.4256,260,4.4,必經 恆春古城 國定古蹟城門 km約67
墾丁大街,屏東縣恆春鎮 墾丁大街,10,起終點,3.8,21641,4.4256,260,3.81,終點 墾丁 ★主視覺 大尖山與南國海灘 km約76
