景點名稱,地點搜尋關鍵字,緯度,經度,順序,類型,評分,評論總數,bayesian_C,bayesian_m,bayesian_score,備註說明
蘇澳新站,宜蘭縣蘇澳鎮 蘇澳新車站,24.6089299,121.82768279999998,1,起終點,4,222,4.5046,745,4.39,07:00 出發 接續 Day8 火車接駁抵蘇澳新站 km0
7-ELEVEN 頭城門市,7-ELEVEN 頭城門市,24.8558859,121.82419100000001,2,便利商店,,,,,,頭城補給點 km約29
蘭陽博物館,宜蘭縣頭城鎮 蘭陽博物館,24.8686561,121.83274080000001,3,景點,4.4,22394,4.5046,745,4.4,頭城烏石港單面山建築 破蘇澳到東北角長空檔 km約31
全家便利商店 宜蘭大溪店,全家便利商店 宜蘭大溪店,24.941482999999998,121.9005824,4,便利商店,,,,,,進東北角海岸前最後補給 km約43
三貂角燈塔,新北市貢寮區 三貂角燈塔,25.007551499999998,122.00189160000001,5,景點,4.5,15820,4.5046,745,4.5,必經 極東 三貂角燈塔 ★主視覺 台灣本島最東端白色燈塔 km約59
卯起來吃（卯澳店）採現場候位,新北市貢寮區 卯澳 卯起來吃,25.012061,121.9897917,6,餐廳大休,4.9,695,4.5046,745,4.7,午餐大休 卯澳漁村海鮮 km約62（現場候位）
7-ELEVEN 新福隆門市,7-ELEVEN 新福隆門市,25.0168127,121.94473749999999,7,便利商店,,,,,,福隆補給點 km約67
福隆海水浴場,新北市貢寮區 福隆海水浴場,25.0219984,121.94315829999998,8,景點,4.2,6877,4.5046,745,4.23,必經 福隆 雙溪河口黃金沙灘與福隆便當 km約68
7-ELEVEN 鼻頭角門市,7-ELEVEN 鼻頭角門市,25.1239429,121.91413499999999,9,便利商店,,,,,,鼻頭角龍洞補給點 km約85
大坪海岸,基隆市中正區 大坪海岸,25.146893799999997,121.79423039999998,10,景點,4.5,2309,4.5046,745,4.5,必經 基隆海岸 八斗子潮間帶海蝕平台 km約100
獅子公園,新北市萬里區 獅子公園,25.1748647,121.7055968,11,景點,4.3,3921,4.5046,745,4.33,外木山湖海路二段北端濱海公園 自行車段終點轉台2線 km約117
全家便利商店 萬里頂社店,全家便利商店 萬里頂社店,25.2096543,121.6567307,12,便利商店,,,,,,萬里 進金山前補給 km約124
金山老街,新北市金山區 金山老街,25.2217827,121.6383244,13,起終點,4.1,49476,4.5046,745,4.11,終點 金山 老街與溫泉 km約127
