景點名稱,地點搜尋關鍵字,緯度,經度,順序,類型,評分,評論總數,bayesian_C,bayesian_m,bayesian_score,備註說明
通霄車站,苗栗縣通霄鎮 通霄車站,24.491403,120.678424,1,起終點,4.3,409,4.4953,268,4.38,07:00 出發 接續 Day1 終點 km0
大甲鎮瀾宮,台中市大甲區 大甲鎮瀾宮,24.3451924,120.62359439999999,2,景點,4.6,17322,4.4953,268,4.6,必經 大甲鎮瀾宮 媽祖總本山 km約19
高美濕地遊客中心,台中市清水區 高美濕地,24.305293499999998,120.54760940000001,3,景點,4.2,4080,4.4953,268,4.22,破大甲到鹿港長空檔的人氣濕地 km約29
7-ELEVEN 巧竹門市,7-ELEVEN 巧竹門市,24.2890417,120.54038219999998,4,便利商店,,,,,,補給點 km約31
鹿港老街,彰化縣鹿港鎮 鹿港老街,24.056300999999998,120.4325817,5,景點,4.5,42165,4.4953,268,4.5,必經 鹿港老街 古蹟街區 km約60
全家便利商店 鹿港車站店,全家便利商店 鹿港車站店,24.056597399999998,120.4347047,6,便利商店,,,,,,鹿港補給點 km約60
老蕭土魠魚麵館（日式豬排便當）,彰化縣鹿港鎮 老蕭土魠魚麵館,24.051002,120.43182209999999,7,餐廳大休,4.9,2782,4.4953,268,4.86,午餐大休 鹿港小吃 km約61
埔鹽順澤宮,彰化縣埔鹽鄉 順澤宮,23.9966546,120.47491219999999,8,景點,4.7,2152,4.4953,268,4.68,必經 埔鹽順澤宮 冠軍帽加持 km約70
7-ELEVEN 露興門市,7-ELEVEN 露興門市,23.844733899999998,120.4577315,9,便利商店,,,,,,西螺大橋前補給 km約88
西螺大橋廣場,雲林縣西螺鎮 西螺大橋廣場,23.8049045,120.4596467,10,景點,4.4,5102,4.4953,268,4.4,必經 西螺大橋廣場 ★主視覺 紅色鋼桁架歷史大橋（橋體已封閉禁行，於西螺端廣場觀景拍照，過河走台1線溪州大橋）km約90
西螺延平老街,雲林縣西螺鎮 延平老街,23.8014431,120.46190379999999,11,起終點,4.2,2125,4.4953,268,4.23,終點 西螺 老街住宿與晚餐 km約94
