景點名稱,地點搜尋關鍵字,緯度,經度,順序,類型,評分,評論總數,bayesian_C,bayesian_m,bayesian_score,備註說明
西螺延平老街,雲林縣西螺鎮 延平老街,23.8014431,120.46190379999999,1,起終點,4.2,2125,4.3556,290,4.22,06:30 出發 接續 Day2 終點 km0（166km 長程日提早出發）
全家便利商店 褒忠聚寶店,全家便利商店 褒忠聚寶店,23.6947446,120.31236630000001,2,便利商店,,,,,,補給點 km約19
黃金蝙蝠生態館,雲林縣水林鄉 黃金蝙蝠生態館,23.620801,120.2612908,3,景點,4.6,2040,4.3556,290,4.57,破西螺到東石長空檔的人氣生態館 km約31
7-ELEVEN 宜梧門市,7-ELEVEN 宜梧門市,23.546027799999997,120.1912791,4,便利商店,,,,,,補給點 km約44
蚵老大海鮮碳烤-東石美食推薦/烤蚵吃到飽/東石海鮮餐廳/東石漁人碼頭美食/嘉義鮮蚵吃到飽推薦/東石團餐餐廳推薦/東石進香團餐廳推薦/東石香客餐廳/東石鮮蚵200元吃到飽/嘉義縣美食推薦,嘉義縣東石鄉 蚵老大海鮮碳烤,23.451768599999998,120.13608299999999,5,餐廳大休,4.8,6760,4.3556,290,4.78,午餐大休 東石烤蚵吃到飽 km約57
東石漁港,嘉義縣東石鄉 東石漁港,23.4514662,120.13733839999998,6,景點,4.1,1524,4.3556,290,4.14,必經 東石漁港 漁人碼頭夕陽 km約57
7-ELEVEN 布鹽門市,7-ELEVEN 布鹽門市,23.3824008,120.1705189,7,便利商店,,,,,,布袋補給點 km約69
北門遊客中心,台南市北門區 北門遊客中心 水晶教堂,23.267152199999998,120.12396949999999,8,景點,4.1,5383,4.3556,290,4.11,北門井仔腳鹽鄉、水晶教堂 km約85
萊爾富 七股台潭店,萊爾富 七股台潭店,23.1876166,120.1328125,9,便利商店,,,,,,進七股潟湖/國聖燈塔遠程前最後補給 km約94
七股鹽山,台南市七股區 七股鹽山,23.1537345,120.0998464,10,景點,3.9,20746,4.3556,290,3.91,必經 七股鹽山 白色鹽山地標 km約102
國聖港燈塔,台南市七股區 國聖港燈塔 台灣最西點,23.1007127,120.0360012,11,景點,4.4,3349,4.3556,290,4.4,必經 國聖港燈塔 ★主視覺 台灣本島極西點 防風林牽車 km約119
鹿耳門聖母廟,台南市安南區 鹿耳門聖母廟,23.068023399999998,120.12724139999997,12,起終點,4.7,5255,4.3556,290,4.68,終點 台南鹿耳門 km約135（實測約166）
