景點名稱,地點搜尋關鍵字,緯度,經度,順序,類型,評分,評論總數,bayesian_C,bayesian_m,bayesian_score,備註說明
鹿耳門聖母廟,台南市安南區 鹿耳門聖母廟,23.068023399999998,120.12724139999997,1,起終點,4.7,5255,4.466,249,4.69,07:00 出發 接續 Day3 終點 km0
四草綠色隧道,台南安南區 四草綠色隧道,23.0196399,120.1361465,2,景點,4.3,22431,4.466,249,4.3,必經 四草綠色隧道 台版亞馬遜紅樹林 km約7
林默娘公園,台南安平區 林默娘公園,22.993875799999998,120.1571958,3,景點,4.4,10680,4.466,249,4.4,必經 林默娘公園 安平媽祖像濱海公園 km約14
黃金海岸,台南市南區 黃金海岸,22.931430100000004,120.1764427,4,景點,4.3,10172,4.466,249,4.3,必經 黃金海岸 喜樹灣裡海岸 km約25
7-ELEVEN 竹滬門市,7-ELEVEN 竹滬門市,22.859728099999998,120.2278723,5,便利商店,,,,,,茄萣/路竹補給點 km約37
橋頭糖廠,高雄市橋頭區 橋頭糖廠,22.755686000000004,120.31427319999999,6,景點,4.2,7591,4.466,249,4.21,日式糖業文化園區 km約55
森川丼丼楠梓總店,高雄市楠梓區 森川丼丼,22.724978999999998,120.3243371,7,餐廳大休,4.7,13272,4.466,249,4.7,午餐大休 高人氣丼飯 km約59
全家便利商店 鳥松大仁店,全家便利商店 鳥松大仁店,22.6624391,120.36254620000001,8,便利商店,,,,,,澄清湖前補給 km約68
澄清湖觀夕平台,高雄鳥松區 澄清湖觀夕平台,22.657894799999998,120.35886819999999,9,景點,4.6,152,4.466,249,4.52,必經 澄清湖觀夕平台 高雄澄清湖觀景 km約69
7-ELEVEN 潮欣門市,7-ELEVEN 潮欣門市,22.5627699,120.4287728,10,便利商店,,,,,,大寮 進東港前補給 km約84
東港東隆宮,屏東縣東港鎮 東隆宮,22.4630838,120.44871930000001,11,起終點,4.7,7787,4.466,249,4.69,終點 東港東隆宮 金牌樓王船祭 km約99
