景點名稱,地點搜尋關鍵字,緯度,經度,順序,類型,評分,評論總數,bayesian_C,bayesian_m,bayesian_score,備註說明
玉里車站,花蓮縣玉里鎮 玉里車站,23.331519999999998,121.31172,1,起終點,4.1,689,4.424,311,4.2,07:00 出發 接續 Day7 終點 km0
玉富自行車道,花蓮縣玉里鎮 玉富自行車道,23.3287282,121.31116619999999,2,景點,4.4,315,4.424,311,4.41,必經 玉富自行車道 跨歐亞與菲律賓板塊車道 km約5
北回歸線標誌公園,花蓮縣瑞穗鄉 舞鶴北回歸線標誌公園,23.465730999999998,121.3574028,3,景點,4.2,8808,4.424,311,4.21,必經 舞鶴北回歸線 北回歸線地標 km約25
7-ELEVEn 瑞權門市,7-ELEVEN 瑞權門市,23.5170213,121.37690019999998,4,便利商店,,,,,,瑞穗補給點 km約32
花蓮觀光糖廠,花蓮縣光復鄉 花蓮觀光糖廠,23.6586905,121.4206067,5,景點,4.1,22943,4.424,311,4.1,必經 花蓮糖廠 日式宿舍與冰品 km約49
全家便利商店 光復車站店,全家便利商店 光復車站店,23.6660044,121.42363710000001,6,便利商店,,,,,,光復補給點 km約50
物語食堂＆精油工坊,花蓮縣鳳林鎮 物語食堂,23.774957099999998,121.45787310000001,7,餐廳大休,4.8,4148,4.424,311,4.77,午餐大休 鳳林高人氣食堂 km約65
花蓮雲山水夢幻湖,花蓮縣壽豐鄉 雲山水夢幻湖,23.8285824,121.5155814,8,景點,4.1,14579,4.424,311,4.11,壽豐落羽松夢幻湖 km約75
7-ELEVEN 豐學門市,7-ELEVEN 豐學門市,23.8957408,121.55395479999999,9,便利商店,,,,,,壽豐補給點 km約83
7-ELEVEN 權營門市,7-ELEVEN 權營門市,23.982899,121.62137349999999,10,便利商店,,,,,,花蓮市進七星潭前補給 km約96
七星潭海岸風景特定區,花蓮縣新城鄉 七星潭風景區,24.0314268,121.62717639999998,11,景點,4.6,28264,4.424,311,4.6,必經 七星潭 礫石海灣弧形海岸 km約100
花蓮車站,花蓮市 花蓮車站,23.9933133,121.60124549999999,12,起終點,4.2,3172,4.424,311,4.22,終點 花蓮車站 搭火車接駁蘇澳新站 km約106
