景點名稱,地點搜尋關鍵字,順序,類型,評分,評論總數,bayesian_C,bayesian_m,bayesian_score,備註說明
墾丁大街,屏東縣恆春鎮 墾丁大街,1,起終點,3.8,21641,4.5569,335,3.81,06:30 出發 接續 Day5 終點 km0（壽卡爬坡日提早出發）
鵝鑾鼻燈塔,屏東縣恆春鎮 鵝鑾鼻燈塔,2,景點,4.4,14693,4.5569,335,4.4,必經 極南 鵝鑾鼻燈塔 ★主視覺 台灣最南端白色燈塔 km約11
龍磐公園大草原,屏東縣恆春鎮 龍磐公園,3,景點,4.7,1240,4.5569,335,4.67,崩崖草原與觀星地 km約15
風吹砂,屏東縣恆春鎮 風吹砂,4,景點,4.5,3396,4.5569,335,4.51,必經 風吹砂 風成沙丘地景 km約17
7-ELEVEN 恆春門市,7-ELEVEN 恆春門市,5,便利商店,,,,,,恆春補給點 km約34
7-ELEVEN 楓港門市,7-ELEVEN 楓港門市,6,便利商店,,,,,,轉台9南迴前補給 km約56
雙流道之驛,屏東縣獅子鄉 雙流道之驛,7,餐廳大休,4.8,616,4.5569,335,4.71,午餐大休 壽卡爬坡前最後正餐 km約69
7-ELEVEN 雙琉門市,7-ELEVEN 雙琉門市,8,便利商店,,,,,,壽卡爬坡前最後超商 補滿水 km約70
壽卡鐵馬驛站,屏東縣達仁鄉 壽卡鐵馬驛站,9,景點,4.6,195,4.5569,335,4.57,必經 壽卡 南迴最高點鐵馬驛站 有飲水公廁 km約76
7-ELEVEN 大武門市,7-ELEVEN 大武門市,10,便利商店,,,,,,下壽卡後第一個超商 km約97
多良觀光車站,台東縣太麻里鄉 多良車站,11,景點,4.1,33936,4.5569,335,4.1,必經 多良車站 全台最美海景車站 km約114
太麻里車站,台東縣太麻里鄉 太麻里車站,12,起終點,4.4,972,4.5569,335,4.44,終點 太麻里 日昇之鄉 km約128
