景點名稱,地點搜尋關鍵字,緯度,經度,順序,類型,評分,評論總數,bayesian_C,bayesian_m,bayesian_score,備註說明
金山老街,新北市金山區 金山老街,25.2217827,121.6383244,1,起終點,4.1,49476,4.4659,449,4.1,08:00 出發 接續 Day9 終點 km0（最終日，輕鬆完騎）
石門洞,新北市石門區 石門洞,25.295895899999998,121.5683103,2,景點,4.3,12223,4.4659,449,4.31,必經 石門 海蝕拱門地標 km約14
全家便利商店 石門粽香店,全家便利商店 石門粽香店,25.292127699999998,121.5680525,3,便利商店,,,,,,石門補給點 km約15
富貴角燈塔,新北市石門區 富貴角燈塔 台灣最北點,25.2996123,121.53696370000002,4,景點,4.7,849,4.4659,449,4.62,必經 極北 富貴角燈塔 ★主視覺 台灣本島最北點黑白燈塔 集滿四極點 km約19
7-ELEVEN 三芝門市,7-ELEVEN 三芝門市,25.2578811,121.50339849999999,5,便利商店,,,,,,三芝補給點 km約32
普羅旺斯海岸咖啡,新北市三芝區 普羅旺斯海岸咖啡,25.2541511,121.47355599999999,6,餐廳大休,4.9,3687,4.4659,449,4.85,午餐大休 淺水灣海景餐廳 km約36
芝蘭公園海上觀景平台,新北市三芝區 芝蘭公園海上觀景平台,25.2539579,121.4725082,7,景點,4.4,1591,4.4659,449,4.41,三芝淺水灣海上觀景平台 km約36
淡水老街,新北市淡水區 淡水老街,25.168927,121.44409209999999,8,景點,4.4,33471,4.4659,449,4.4,必經 淡水 老街與金色水岸 km約48
全家便利商店 八里龍米店,全家便利商店 八里龍米店,25.128575200000004,121.45196410000001,9,便利商店,,,,,,八里補給點（過渡船頭前）km約55
八里渡船頭老街,新北市八里區 八里渡船頭老街,25.158442899999997,121.4347089,10,景點,4.2,35412,4.4659,449,4.2,必經 八里 左岸渡船頭老街 km約59
蘆洲柳堤公園,新北市蘆洲區廣榮路與長樂路口柳堤公園,25.088224999999998,121.4626333,11,起終點,4.3,1408,4.4659,449,4.34,終點 蘆洲柳堤公園 環島完騎回到 Day1 起點 km約77
